date,YYYYMMDD,fezile_dabi,lejweleputswa,mangaung,xhariep,thabo_mofutsanyana,total,Recoveries,Deaths,source,comment
12-06-2020,20200612,43,28,200,85,44,400,208,10,https://twitter.com/fs_health/status/1271784003033538560/photo/1,
15-06-2020,20200615,56,43,218,102,59,480,226,11,https://twitter.com/fs_health/status/1272840571669958658/photo/1,
16-06-2020,20200616,68,46,222,103,60,501,226,11,https://twitter.com/fs_health/status/1272964849572753415/photo/1,
17-06-2020,20200617,72,56,252,106,68,556,236,11,https://twitter.com/fs_health/status/1273345722126086144/photo/1,
18-06-2020,20200618,98,67,261,111,83,621,262,11,https://twitter.com/fs_health/status/1273834753037422593/photo/1,
20-06-2020,20200620,112,75,270,124,97,679,266,11,https://twitter.com/fs_health/status/1274667566422732800,
22-06-2020,20200622,122,85,295,127,111,741,294,12,https://twitter.com/fs_health/status/1275506324487487495/photo/1,
24-06-2020,20200624,125,98,305,127,118,774,318,12,https://twitter.com/fs_health/status/1275309479119200256/photo/1,
25-06-2020,20200625,139,107,327,128,123,842,354,12,FS DOH Direct,
25-06-2020,20200625,139,107,327,128,123,842,354,12,FS DOH Direct,
26-06-2020,20200626,151,111,331,128,131,869,356,12,FS DOH Direct,
27-06-2020,20200627,160,124,345,133,134,913,381,13,FS DOH Direct,
28-06-2020,20200628,170,137,357,136,143,961,385,17,FS DOH Direct,
29-06-2020,20200629,193,165,379,141,155,1056,385,18,FS DOH Direct,
30-06-2020,20200630,208,179,411,143,170,1134,386,18,FS DOH Direct,
01-07-2020,20200701,218,200,421,149,177,1188,396,18,FS DOH Direct,
02-07-2020,20200702,342,304,533,160,236,1578,396,19,FS DOH Direct,
03-07-2020,20200703,436,364,622,172,260,1860,425,19,FS DOH Direct,
04-07-2020,20200704,463,419,691,185,275,2103,455,19,FS DOH Direct,
05-07-2020,20200705,526,482,774,190,298,2351,528,19,FS DOH Direct,
06-07-2020,20200706,577,546,849,192,332,2546,528,19,FS DOH Direct,
07-07-2020,20200707,603,617,920,199,373,2803,565,19,FS DOH Direct,
08-07-2020,20200708,648,690,999,204,394,3034,565,19,FS DOH Direct,
09-07-2020,20200709,763,902,1257,218,452,3724,673,19,FS DOH Direct,
10-07-2020,20200710,837,1024,1466,233,513,4221,681,19,FS DOH Direct,
11-07-2020,20200711,906,1183,1683,239,568,4679,687,19,FS DOH Direct,
12-07-2020,20200712,1031,1341,1796,248,642,5224,746,35,FS DOH Direct,
13-07-2020,20200713,1110,1485,1930,253,693,5632,786,42,FS DOH Direct,
14-07-2020,20200714,1164,1553,2057,259,748,5973,968,42,FS DOH Direct,
15-07-2020,20200715,1243,1708,2315,281,814,6561,1033,42,FS DOH Direct,
16-07-2020,20200716,1354,2010,2552,294,905,7312,1055,47,FS DOH Direct,
17-07-2020,20200717,1558,2319,3003,315,1043,8290,1063,47,FS DOH Direct,
20-07-2020,20200720,1909,2971,3931,390,1477,10727,1272,57,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
22-07-2020,20200722,2138,3361,4685,452,1708,12332,1821,62,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,"no date supplied, confirmed 22nd"
23-07-2020,20200723,2248,3689,5108,484,1895,13443,1873,63,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
24-07-2020,20200724,2436,4034,5553,499,2010,14542,2064,63,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
25-07-2020,20200725,2576,4300,5924,537,2172,15512,2075,147,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
30-07-2020,20200730,3246,5485,7780,680,3187,20398,7063,205,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
31-07-2020,20200731,3367,5686,8166,708,3312,21262,8897,212,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
01-08-2020,20200801,3528,5936,8584,732,3500,22308,8897,223,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
05-08-2020,20200805,3930,6601,9877,867,3928,25232,11575,350,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
06-08-2020,20200806,4067,6820,10198,906,4089,26123,11832,362,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
08-08-2020,20200808,4285,7091,10916,967,4459,27742,12642,401,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
11-08-2020,20200811,4458,7354,11496,1048,4814,29209,14522,433,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,"no date supplied, suspect 11th"
13-08-2020,20200813,4528,7531,11949,1066,4924,30049,15217,476,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
14-08-2020,20200814,4616,7650,12375,1097,5061,30387,15819,497,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
16-08-2020,20200816,4757,7794,12832,1169,5278,31870,17000,519,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
17-08-2020,20200817,4807,7869,13030,1197,5360,32304,17547,524,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
18-08-2020,20200818,4815,7903,13236,1221,5412,32593,19548,537,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
22-08-2020,20200822,5033,8319,14164,1316,5789,34621,20678,596,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
23-08-2020,20200823,5083,8367,14318,1347,5859,34980,20786,600,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
24-08-2020,20200824,5106,8420,14447,1403,5972,35367,21174,624,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
26-08-2020,20200826,5166,8519,14772,1431,6089,35980,22829,646,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
28-08-2020,20200828,5218,8650,15154,1491,6229,36472,23047,684,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
29-08-2020,20200829,5260,8714,15343,1515,6324,37157,23092,690,https://www.facebook.com/Free-State-Provincial-Government-276122897304/,
